,ticker,type,date,quantity,price,nominal,real,cumulative nominal,cumulative real
121,CASH,Dividend,3/1/2021,50,1,50,2572,187791,525836
122,CASH,Dividend,3/4/2021,88.14,1,88,4534,187879,530370
123,CASH,Dividend,3/8/2021,78.75,1,78,4051,187957,534421
124,CASH,Dividend,3/11/2021,84,1,84,4321,188041,538742
125,CASH,Dividend,3/31/2021,48.5,1,48,2495,188089,541237
126,CASH,Dividend,4/1/2021,79.05,1,79,4067,188168,545304
127,CASH,Dividend,4/5/2021,64.53,1,64,3320,188232,548624
128,CASH,foreign tax withheld,4/5/2021,-9.68,1,-9,-498,188223,548126
129,CASH,Dividend,4/6/2021,39.38,1,39,2026,188262,550152
130,CASH,foreign tax withheld,4/6/2021,-5.91,1,-5,-304,188257,549848
131,CASH,Dividend,4/15/2021,24,1,24,1234,188281,551082
132,CASH,Dividend,4/16/2021,5.2,1,5,267,188286,551349
133,CASH,Dividend,4/19/2021,62.54,1,62,3217,188348,554566
134,CASH,Dividend,4/22/2021,14.06,1,14,723,188362,555289
136,CASH,Dividend,4/30/2021,105.84,1,105,5445,188467,560734
135,CASH,Dividend,4/30/2021,163.68,1,163,8421,188630,569155
137,CASH,Dividend,5/3/2021,42,1,42,2160,188672,571315
138,CASH,Dividend,5/10/2021,77.44,1,77,3984,188749,575299
139,CASH,Dividend,5/10/2021,210.01,1,210,10805,188959,586104
140,CASH,foreign tax withheld,5/10/2021,-31.5,1,-31,-1620,188928,584484
141,CASH,Dividend,5/17/2021,112.5,1,112,5788,189040,590272
142,CASH,Tax Prep Fees,5/17/2021,-175,1,-175,-9003,188865,581269
143,CASH,Dividend,5/28/2021,78.75,1,78,4051,188943,585320
144,CASH,Dividend,6/1/2021,50,1,50,2572,188993,587892
145,CASH,Dividend,6/3/2021,88.14,1,88,4534,189081,592426
146,CASH,Dividend,6/10/2021,84,1,84,4321,189165,596747
147,CASH,Dividend,6/30/2021,37.45,1,37,1926,189202,598673
148,CASH,Dividend,7/1/2021,79.05,1,79,4067,189281,602740
149,CASH,Dividend,7/2/2021,65.37,1,65,3363,189346,606103
150,CASH,foreign tax withheld,7/2/2021,-9.81,1,-9,-504,189337,605599
151,CASH,Dividend,7/7/2021,39.38,1,39,2026,189376,607625
152,CASH,foreign tax withheld,7/7/2021,-5.91,1,-5,-304,189371,607321
153,CASH,Dividend,7/12/2021,167.64,1,167,8625,189538,615946
155,CASH,Dividend,7/16/2021,5.2,1,5,267,189543,616213
154,CASH,Dividend,7/16/2021,24,1,24,1234,189567,617447
156,CASH,Dividend,7/19/2021,59.59,1,59,3065,189626,620512
157,CASH,Dividend,7/23/2021,14.06,1,14,723,189640,621235
158,CASH,Dividend,7/30/2021,105.84,1,105,5445,189745,626680
159,CASH,Dividend,7/30/2021,42,1,42,2160,189787,628840
160,CASH,Dividend,8/9/2021,62.04,1,62,3191,189849,632031
161,CASH,Dividend,8/13/2021,81.75,1,81,4206,189930,636237
162,CASH,foreign tax withheld,8/13/2021,-12.26,1,-12,-630,189918,635607
163,CASH,Dividend,8/16/2021,112.5,1,112,5788,190030,641395
164,CASH,Dividend,8/27/2021,78.75,1,78,4051,190108,645446
165,CASH,Dividend,9/1/2021,50,1,50,2572,190158,648018
166,CASH,Dividend,9/2/2021,88.14,1,88,4534,190246,652552
167,CASH,Dividend,9/9/2021,84,1,84,4321,190330,656873
168,CASH,Dividend,9/30/2021,37.45,1,37,1926,190367,658799
169,CASH,Dividend,9/30/2021,63.62,1,63,3273,190430,662072
170,CASH,foreign tax withheld,9/30/2021,-9.54,1,-9,-490,190421,661582
171,CASH,Dividend,10/6/2021,55.8,1,55,2870,190476,664452
172,CASH,Dividend,10/7/2021,39.38,1,39,2026,190515,666478
173,CASH,foreign tax withheld,10/7/2021,-5.9,1,-5,-303,190510,666175
175,CASH,Dividend,10/15/2021,5.2,1,5,267,190515,666442
174,CASH,Dividend,10/15/2021,24,1,24,1234,190539,667676
176,CASH,Dividend,10/18/2021,55.08,1,55,2833,190594,670509
177,CASH,Dividend,10/18/2021,172.92,1,172,8896,190766,679405
178,CASH,Dividend,10/20/2021,14.06,1,14,723,190780,680128
179,CASH,Tax Prep Fees,10/25/2021,-1430,1,-1430,-73573,189350,606555
180,CASH,Dividend,10/29/2021,105.84,1,105,5445,189455,612000
181,CASH,Dividend,11/2/2021,42,1,42,2160,189497,614160
182,CASH,Dividend,11/10/2021,62.04,1,62,3191,189559,617351
183,CASH,Dividend,11/15/2021,112.5,1,112,5788,189671,623139
184,CASH,Dividend,11/29/2021,85.75,1,85,4411,189756,627550
185,CASH,Dividend,12/1/2021,50,1,50,2572,189806,630122
186,CASH,Dividend,12/2/2021,88.14,1,88,4534,189894,634656
187,CASH,Dividend,12/9/2021,93,1,93,4784,189987,639440
195,CASH,Dividend,12/23/2021,0.01,1,0,0,189987,639440
188,CASH,Dividend,12/30/2021,41.3,1,41,2124,190028,641564
189,CASH,Dividend,12/31/2021,63.48,1,63,3266,190091,644830
190,CASH,foreign tax withheld,12/31/2021,-9.52,1,-9,-489,190082,644341
197,CASH,Dividend,12/31/2021,183.48,1,183,9440,190265,653781
191,CASH,Dividend,1/4/2022,62.4,1,62,3210,190327,656991
193,CASH,foreign tax withheld,1/7/2022,-5.91,1,-5,-304,190322,656687
192,CASH,Dividend,1/7/2022,39.38,1,39,2026,190361,658713
194,CASH,Dividend,1/14/2022,5.2,1,5,267,190366,658980
196,CASH,Dividend,1/18/2022,55.08,1,55,2833,190421,661813
198,CASH,Dividend,1/24/2022,15.5,1,15,797,190436,662610
199,CASH,Dividend,1/28/2022,42,1,42,2160,190478,664770
200,CASH,Dividend,1/31/2022,116.76,1,116,6007,190594,670777
201,CASH,Dividend,2/10/2022,69.09,1,69,3554,190663,674331
202,CASH,Dividend,2/15/2022,117.5,1,117,6045,190780,680376
203,CASH,Dividend,2/25/2022,85.75,1,85,4411,190865,684787
204,CASH,Dividend,3/1/2022,51.98,1,51,2674,190916,687461
205,CASH,Dividend,3/3/2022,88.14,1,88,4534,191004,691995
206,CASH,Dividend,3/24/2022,93,1,93,4784,191097,696779
207,CASH,Dividend,3/31/2022,41.3,1,41,2124,191138,698903
208,CASH,Dividend,4/1/2022,62.4,1,62,3210,191200,702113
209,CASH,Dividend,4/1/2022,77.41,1,77,3982,191277,706095
210,CASH,foreign tax withheld,4/1/2022,-11.61,1,-11,-597,191266,705498
212,CASH,foreign tax withheld,4/7/2022,-8.87,1,-8,-456,191258,705042
211,CASH,Dividend,4/7/2022,59.15,1,59,3043,191317,708085
213,CASH,tax paid,4/12/2022,-2300,1,-2300,-118335,189017,589750
214,CASH,tax paid,4/12/2022,-600,1,-600,-30870,188417,558880
215,CASH,Dividend,4/14/2022,6,1,6,308,188423,559188
216,CASH,Dividend,4/18/2022,51.68,1,51,2658,188474,561846
217,CASH,Dividend,4/22/2022,15.5,1,15,797,188489,562643
218,CASH,Dividend,4/29/2022,116.76,1,116,6007,188605,568650
219,CASH,Dividend,5/2/2022,184.8,1,184,9507,188789,578157
220,CASH,Dividend,5/2/2022,45,1,45,2315,188834,580472
221,CASH,Dividend,5/6/2022,251.37,1,251,12932,189085,593404
222,CASH,foreign tax withheld,5/6/2022,-37.71,1,-37,-1940,189048,591464
223,CASH,Dividend,5/9/2022,64.19,1,64,3302,189112,594766
