,ticker,type,date,quantity,price,nominal,real,cumulative nominal,cumulative real
274,CASH,Dividend,2023-01-17,6.0,1.0,6,300,190409.0,662587.0
275,CASH,Dividend,2023-01-18,59.28,1.0,59,2970,190468.0,665557.0
276,CASH,Dividend,2023-01-23,17.06,1.0,17,854,190485.0,666411.0
277,CASH,Dividend,2023-01-30,39.75,1.0,39,1991,190524.0,668402.0
279,CASH,Dividend,2023-01-31,36.5,1.0,36,1829,190560.0,670231.0
278,CASH,Dividend,2023-02-01,124.5,1.0,124,6238,190684.0,676469.0
280,CASH,Dividend,2023-02-02,205.92,1.0,205,10318,190889.0,686787.0
281,CASH,Dividend,2023-02-09,74.67,1.0,74,3741,190963.0,690528.0
282,CASH,Dividend,2023-02-15,125.97,1.0,125,6312,191088.0,696840.0
284,CASH,Dividend,2023-02-28,22.03,1.0,22,1103,191110.0,697943.0
283,CASH,Dividend,2023-03-01,53.96,1.0,53,2703,191163.0,700646.0
285,CASH,Dividend,2023-03-02,85.26,1.0,85,4272,191248.0,704918.0
286,CASH,Dividend,2023-03-09,102.0,1.0,102,5111,191350.0,710029.0
287,CASH,Dividend,2023-03-31,45.5,1.0,45,2280,191395.0,712309.0
289,CASH,Dividend,2023-04-03,17.89,1.0,17,896,191412.0,713205.0
288,CASH,Dividend,2023-04-03,75.0,1.0,75,3758,191487.0,716963.0
290,CASH,Dividend,2023-04-04,77.01,1.0,77,3858,191564.0,720821.0
291,CASH,foreign tax withheld,2023-04-04,-19.25,1.0,-19,-964,191545.0,719857.0
292,CASH,Dividend,2023-04-06,70.98,1.0,70,3556,191615.0,723413.0
293,CASH,foreign tax withheld,2023-04-06,-10.65,1.0,-10,-533,191605.0,722880.0
294,CASH,Dividend,2023-04-14,7.0,1.0,7,350,191612.0,723230.0
295,CASH,Dividend,2023-04-18,59.28,1.0,59,2970,191671.0,726200.0
296,CASH,Dividend,2023-04-21,17.06,1.0,17,854,191688.0,727054.0
298,CASH,Dividend,2023-04-28,42.93,1.0,42,2151,191730.0,729205.0
297,CASH,Dividend,2023-04-28,205.92,1.0,205,10318,191935.0,739523.0
299,CASH,Dividend,2023-04-28,124.5,1.0,124,6238,192059.0,745761.0
300,CASH,Dividend,2023-04-30,13.78,1.0,13,690,192072.0,746451.0
301,CASH,Dividend,2023-05-04,327.29,1.0,327,16400,192399.0,762851.0
302,CASH,foreign tax withheld,2023-05-04,-49.09,1.0,-49,-2459,192350.0,760392.0
303,CASH,Dividend,2023-05-09,74.67,1.0,74,3741,192424.0,764133.0
304,CASH,Dividend,2023-05-15,125.97,1.0,125,6312,192549.0,770445.0
307,CASH,Dividend,2023-05-31,21.98,1.0,21,1101,192570.0,771546.0
305,CASH,Dividend,2023-06-01,53.96,1.0,53,2703,192623.0,774249.0
306,CASH,Dividend,2023-06-01,96.09,1.0,96,4815,192719.0,779064.0
308,CASH,Dividend,2023-06-08,102.0,1.0,102,5111,192821.0,784175.0
309,CASH,Dividend,2023-06-12,24.38,1.0,24,1221,192845.0,785396.0
